Order_Old,Final_STATUS,Boss,Tier,Damage,Team,Replay,Team (no MoW),view_count,upload_date,creator_name,creator_channel_link,team_key,tier_weight,days_old,date_weight,damage_num,replay_scaled_damage,team_frequency_count,frequency_weight,meta_score
119,ALTERNATE,Screamer,L3,"1,600,000","Rho, Tan, Actus, Vit, Traj, Galatian",https://www.youtube.com/shorts/dxyzaFb986Q,"Rho, Tan, Actus, Vit, Traj",1641,2025-09-09,Loknar,https://www.youtube.com/channel/UCIU5bQjX1iO94N4FXMsk2PQ,Actus|Rho|Tan|Traj|Vit,1.17,267,0.6174609256,1600000,1872000,3,0.75,866915.1396
120,ALTERNATE,Screamer,L4,"1,500,000","Rho, Tan, Actus, Vit, Traj, Galatian",https://www.youtube.com/shorts/uoexx1wRf_Y,"Rho, Tan, Actus, Vit, Traj",1134,2026-01-15,zelots1991,https://www.youtube.com/channel/UCrTWi75yUCrpyeAqTkUzQ2Q,Actus|Rho|Tan|Traj|Vit,1.25,139,0.7780212374,1500000,1875000,3,0.75,1094092.365
123,ALTERNATE,Screamer,L5,"1,570,000","Rho, Tan, Actus, Vit, Traj, Galatian",https://www.youtube.com/shorts/gIDYwdS-GBs,"Rho, Tan, Actus, Vit, Traj",2733,2026-03-30,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Actus|Rho|Tan|Traj|Vit,1.33,65,0.8892518547,1570000,2088100,3,0.75,1392635.098
130,META,Szarekh,L5,"1,500,000","Lav, Kari, Traj, Boss, Vit, Biovore",https://www.youtube.com/shorts/a9peq3ZI1SU,"Lav, Kari, Traj, Boss, Vit",2345,2026-02-03,HozzMidnight,https://www.youtube.com/channel/UCQYULaZw-03dyf5_yQHfbxQ,Boss|Kari|Lav|Traj|Vit,1.33,120,0.8051780016,1500000,1995000,4,1,1606330.113
131,META,Szarekh,M1,"2,550,000","Lav, Kari, Traj, Boss, Vit, Biovore",https://www.youtube.com/shorts/-XMhSnr6ehE,"Lav, Kari, Traj, Boss, Vit",10664,2026-03-15,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Boss|Kari|Lav|Traj|Vit,1.42,80,0.8654884315,2550000,3621000,4,1,3133933.611
129,,Szarekh,L5,"2,300,000","Lav, Kari, Traj, Boss, Kharn, Biovore",https://www.youtube.com/shorts/slV4NF_zfQI,"Lav, Kari, Traj, Boss, Kharn",5714,2026-04-28,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Boss|Kari|Kharn|Lav|Traj,1.33,36,0.9370603681,2300000,3059000,1,0.25,716616.9165
133,META,Szarekh,M1,"2,200,000","Lav, Kari, Traj, Boss, Vit, Biovore",https://www.youtube.com/shorts/Z5VFRZVPLr4,"Lav, Kari, Traj, Boss, Vit",1254,2026-05-22,Kitty Bebop,https://www.youtube.com/channel/UCsaYguE7v4yz7biFoG3YYZA,Boss|Kari|Lav|Traj|Vit,1.42,12,0.9785638996,2200000,3124000,4,1,3057033.623
132,META,Szarekh,M1,"2,060,000","Lav, Kari, Traj, Boss, Vit, Biovore",https://www.youtube.com/shorts/ZnJ_Koye0ug,"Lav, Kari, Traj, Boss, Vit",7006,2026-03-15,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Boss|Kari|Lav|Traj|Vit,1.42,80,0.8654884315,2060000,2925200,4,1,2531726.76
134,ALTERNATE,Szarekh,M1,"2,570,000","Lav, Kari, Traj, Boss, Aesoth, Biovore",https://www.youtube.com/shorts/1DmTXIjtsFc,"Lav, Kari, Traj, Boss, Aesoth",618,2026-03-18,HozzMidnight,https://www.youtube.com/channel/UCQYULaZw-03dyf5_yQHfbxQ,Aesoth|Boss|Kari|Lav|Traj,1.42,77,0.8701897627,2570000,3649400,1,0.25,793917.63
81,META,Tervigon,L2,"2,780,000","Lav, Kari, Traj, Boss, Helb, PBC",https://www.youtube.com/shorts/2Q-iQfjjOLw,"Lav, Kari, Traj, Boss, Helb",3386,2026-05-13,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Boss|Helb|Kari|Lav|Traj,1.08,21,0.9627889178,2780000,3002400,1,0.5,1445338.723
79,ALTERNATE,Tervigon,L1,"1,980,000","Rho, Tan, Actus, Helb, Vit, Galatian",https://www.youtube.com/shorts/xCOUNVdXAPw,"Rho, Tan, Actus, Helb, Vit",2789,2025-11-24,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Actus|Helb|Rho|Tan|Vit,1,191,0.7082902698,1980000,1980000,2,1,1402414.734
82,ALTERNATE,Tervigon,L2,"2,190,000","Rho, Tan, Actus, Helb, Vit, Galatian",https://www.youtube.com/shorts/NK5sd4-g5zg,"Rho, Tan, Actus, Helb, Vit",532,2026-05-06,Machiep,https://www.youtube.com/channel/UC28Z3G42M0wcczMR2SQeUvw,Actus|Helb|Rho|Tan|Vit,1.08,28,0.9506955116,2190000,2365200,2,1,2248585.024
83,,Tervigon,L2,"1,940,000","Rho, Tan, Actus, Vit, Boss, Galatian",https://www.youtube.com/shorts/UIwSTRq7cIs,"Rho, Tan, Actus, Vit, Boss",538,2026-03-26,Loknar,https://www.youtube.com/channel/UCIU5bQjX1iO94N4FXMsk2PQ,Actus|Boss|Rho|Tan|Vit,1.08,69,0.8828518737,1940000,2095200,1,0.5,924875.6228
80,,Tervigon,L1,"1,800,000","Rho, Tan, Actus, Helb, Boss, Galatian",https://www.youtube.com/shorts/OF62tMsePlI,"Rho, Tan, Actus, Helb, Boss",3055,2025-06-06,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Actus|Boss|Helb|Rho|Tan,1,362,0.5201244081,1800000,1800000,1,0.5,468111.9673
991,META,Lion,L4,0,"Neuro, Abrax, Ahri, Abaddon, Archi, Zkar",https://www.youtube.com/watch?v=Zz5kvJevkNM,,,,Nandi,https://www.youtube.com/@Nandi40k,,,,,,,,,
992,ALTERNATE,Lion,L4,"1,252,841","Farsight, Revas, Actus, Darkstrider, Eldy, PBC",https://www.youtube.com/watch?v=vSD_4HZtQUQ,,,,TacticalRaven,https://www.youtube.com/@TheTacticalRaven,,,,,,,,,
